Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),TeamCode,OriginalTable
LOLB,Andrew Van Ginkel,28.0,4.0,11.0,"6.0 sacks, 1 interception, 1 fumble recovered",,2023_ROSTER.HTM,Table_1
LILB,Jerome Baker,27.0,5.0,12.0,"1.5 sacks, 2 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
RILB,David Long,27.0,4.0,17.0,"1.0 sacks, 0 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
ROLB,Bradley Chubb,27.0,5.0,16.0,"11.0 sacks, 0 interceptions, 2 fumbles recovered",,2023_ROSTER.HTM,Table_1
LCB,Xavien Howard,30.0,7.0,13.0,"0.0 sacks, 1 interception, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
RCB,Kader Kohou,25.0,1.0,16.0,"1.0 sacks, 0 interceptions, 1 fumble recovered",,2023_ROSTER.HTM,Table_1
SS,Jevon Holland,23.0,2.0,12.0,"0.0 sacks, 1 interception, 1 fumble recovered",,2023_ROSTER.HTM,Table_1
FS,DeShon Elliott,26.0,4.0,15.0,"0.0 sacks, 1 interception, 1 fumble recovered",,2023_ROSTER.HTM,Table_1
,Offensive Starters,,,,,,2023_ROSTER.HTM,Table_1
QB,Kenny Pickett,25.0,1,12.0,"201 for 324, 2,070 yards, 6 td, 4 int, & 42 rushes for 54 yards and 1 td",,2023_ROSTER.HTM,Table_1
RB,Najee Harris,25.0,2,17.0,"255 rushes for 1,035 yards, 8 td, & 29 catches for 170 yards and 0 td",,2023_ROSTER.HTM,Table_1
WR,Diontae Johnson,27.0,4,11.0,"51 catches for 717 yards, 5 td",,2023_ROSTER.HTM,Table_1
WR,George Pickens,22.0,1,16.0,"63 catches for 1,140 yards, 5 td, & 3 rushes for 18 yards and 0 td",,2023_ROSTER.HTM,Table_1
WR,Allen Robinson,30.0,9,17.0,"34 catches for 280 yards, 0 td",,2023_ROSTER.HTM,Table_1
TE,Pat Freiermuth,25.0,2,9.0,"32 catches for 308 yards, 2 td",,2023_ROSTER.HTM,Table_1
LT,Dan Moore,25.0,2,16.0,1 fumble recovered,,2023_ROSTER.HTM,Table_1
LG,Isaac Seumalo,30.0,7,17.0,1 fumble recovered,,2023_ROSTER.HTM,Table_1
C,Mason Cole,27.0,5,17.0,,,2023_ROSTER.HTM,Table_1
RG,James Daniels,26.0,5,15.0,,,2023_ROSTER.HTM,Table_1
RT,Broderick Jones,22.0,Rook,11.0,1 fumble recovered,,2023_ROSTER.HTM,Table_1
,Defensive Starters,,,,,,2023_ROSTER.HTM,Table_1
LDE,Cameron Heyward,34.0,12,11.0,"2.0 sacks, 0 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
NT,Montravius Adams,28.0,6,8.0,,,2023_ROSTER.HTM,Table_1
RDE,Larry Ogunjobi,29.0,6,17.0,"3.0 sacks, 0 interceptions, 2 fumbles recovered",,2023_ROSTER.HTM,Table_1
LOLB,T.J. Watt*+,29.0,6,17.0,"19.0 sacks, 1 interception, 3 fumbles recovered",,2023_ROSTER.HTM,Table_1
LILB,Cole Holcomb,27.0,4,8.0,"0.0 sacks, 0 interceptions, 1 fumble recovered",,2023_ROSTER.HTM,Table_1
RILB,Elandon Roberts,29.0,7,15.0,"2.5 sacks, 0 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
ROLB,Alex Highsmith,26.0,3,17.0,"7.0 sacks, 2 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
LCB,Patrick Peterson,33.0,12,16.0,"0.0 sacks, 2 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
RCB,Joey Porter Jr.,23.0,Rook,11.0,"0.0 sacks, 1 interception, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
SS,Keanu Neal,28.0,7,8.0,"0.0 sacks, 1 interception, 1 fumble recovered",,2023_ROSTER.HTM,Table_1
FS,Minkah Fitzpatrick*,27.0,5,10.0,,,2023_ROSTER.HTM,Table_1
,Offensive Starters,,,,,,2023_ROSTER.HTM,Table_1
